SEQ='BE'     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  22527951.3   NPRNTI= 2   NPRNTF= 2
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 2.5)   132190.0 

   LS RESOLVED TERM INDEXING            BWNR=  24195433.6   NTRM= 246
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    31       3.35E-12  2.37E-12  1.50E-12  1.05E-12  7.40E-13  4.58E-13  3.13E-13  2.08E-13  1.12E-13  6.48E-14
             3.43E-14  1.29E-14  5.57E-15  2.25E-15  6.33E-16  2.33E-16  8.45E-17  2.17E-17  7.72E-18
    32       2.30E-12  1.62E-12  1.02E-12  7.15E-13  4.97E-13  3.00E-13  1.97E-13  1.23E-13  5.87E-14  3.01E-14
             1.40E-14  4.46E-15  1.75E-15  6.56E-16  1.73E-16  6.19E-17  2.21E-17  5.61E-18  1.99E-18
    33       1.06E-12  7.48E-13  4.72E-13  3.33E-13  2.34E-13  1.45E-13  9.92E-14  6.60E-14  3.59E-14  2.08E-14
             1.11E-14  4.18E-15  1.81E-15  7.34E-16  2.06E-16  7.62E-17  2.76E-17  7.09E-18  2.52E-18
    34       7.60E-13  5.36E-13  3.37E-13  2.37E-13  1.64E-13  9.92E-14  6.53E-14  4.08E-14  1.94E-14  9.96E-15
             4.63E-15  1.48E-15  5.79E-16  2.18E-16  5.73E-17  2.06E-17  7.32E-18  1.86E-18  6.59E-19
    36       3.11E-13  2.20E-13  1.39E-13  9.85E-14  6.97E-14  4.41E-14  3.13E-14  2.22E-14  1.40E-14  9.86E-15
             6.84E-15  4.07E-15  2.62E-15  1.60E-15  7.56E-16  3.95E-16  1.93E-16  6.83E-17  2.92E-17
    38       9.86E-14  6.97E-14  4.41E-14  3.12E-14  2.21E-14  1.40E-14  9.96E-15  7.09E-15  4.52E-15  3.20E-15
             2.24E-15  1.34E-15  8.66E-16  5.31E-16  2.51E-16  1.31E-16  6.43E-17  2.27E-17  9.72E-18
    40       1.23E-12  8.72E-13  5.51E-13  3.89E-13  2.75E-13  1.73E-13  1.21E-13  8.40E-14  5.03E-14  3.27E-14
             2.02E-14  9.53E-15  4.92E-15  2.35E-15  7.88E-16  3.22E-16  1.25E-16  3.43E-17  1.26E-17
    42       4.04E-13  2.86E-13  1.80E-13  1.28E-13  9.00E-14  5.67E-14  3.97E-14  2.76E-14  1.66E-14  1.08E-14
             6.67E-15  3.16E-15  1.63E-15  7.79E-16  2.62E-16  1.07E-16  4.17E-17  1.14E-17  4.17E-18
    44       2.01E-12  1.42E-12  8.97E-13  6.32E-13  4.44E-13  2.75E-13  1.88E-13  1.25E-13  6.71E-14  3.87E-14
             2.05E-14  7.66E-15  3.31E-15  1.34E-15  3.75E-16  1.38E-16  5.01E-17  1.29E-17  4.57E-18
    46       2.02E-12  1.43E-12  8.97E-13  6.29E-13  4.38E-13  2.64E-13  1.74E-13  1.08E-13  5.16E-14  2.64E-14
             1.23E-14  3.91E-15  1.53E-15  5.75E-16  1.51E-16  5.43E-17  1.93E-17  4.91E-18  1.74E-18
    47       6.45E-13  4.55E-13  2.87E-13  2.03E-13  1.42E-13  8.82E-14  6.04E-14  4.02E-14  2.18E-14  1.26E-14
             6.69E-15  2.51E-15  1.09E-15  4.40E-16  1.23E-16  4.55E-17  1.65E-17  4.23E-18  1.50E-18
