SEQ='O '     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  27239297.0   NPRNTI= 3   NPRNTF= 3
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P3             (4)0( 1.5)        0.0 
     2          2S2 2P3             (2)2( 4.5)    44495.0 
     3          2S2 2P3             (2)1( 2.5)    62597.4 

   LS RESOLVED TERM INDEXING            BWNR=  27737598.3   NTRM= 503
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   352     2    2S2 2P3 8H1         (1)3( 3.0)   527338.7*
   353     2    2S2 2P3 8H1         (3)4(13.0)   527338.7*
   354     2    2S2 2P3 8H1         (1)4( 4.0)   527338.7*
   355     2    2S2 2P3 8H1         (3)5(16.0)   527338.7*
   356     2    2S2 2P3 8H1         (1)5( 5.0)   527338.7*
   357     2    2S2 2P3 8H1         (3)6(19.0)   527338.7*
   358     2    2S2 2P3 8H1         (1)6( 6.0)   527338.7*
   359     2    2S2 2P3 8H1         (3)7(22.0)   527338.7*
   360     2    2S2 2P3 8H1         (1)7( 7.0)   527338.7*
   361     2    2S2 2P3 8D1         (1)3( 3.0)   527340.8*
   362     2    2S2 2P3 8I1         (3)4(13.0)   527349.5*
   363     2    2S2 2P3 8I1         (1)4( 4.0)   527349.5*
   364     2    2S2 2P3 8I1         (3)5(16.0)   527349.5*
