SEQ='F '     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  27733664.6   NPRNTI= 3   NPRNTF= 3
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P4             (3)1( 4.0)        0.0 
     2          2S2 2P4             (1)2( 2.0)    28403.2 
     3          2S2 2P4             (1)0( 0.0)    55370.5 

   LS RESOLVED TERM INDEXING            BWNR=  28053719.0   NTRM= 338
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   322     3    2S2 2P4 6H1         (2)5(10.5)   363193.6*
   323     3    2S2 2P4 6F1         (2)3( 6.5)   363229.6*
   324     3    2S2 2P4 7S1         (2)0( 0.5)   363433.1*
   325     3    2S2 2P4 7P1         (2)1( 2.5)   364698.9*
   326     3    2S2 2P4 7D1         (2)2( 4.5)   366374.1*
   327     3    2S2 2P4 7G1         (2)4( 8.5)   366420.0*
   328     3    2S2 2P4 7H1         (2)5(10.5)   366442.7*
   329     3    2S2 2P4 7I1         (2)6(12.5)   366452.7*
   330     3    2S2 2P4 7F1         (2)3( 6.5)   366465.1*
   331     3    2S2 2P4 8S1         (2)0( 0.5)   366595.7*
   332     3    2S2 2P4 8P1         (2)1( 2.5)   367405.5*
   333     3    2S2 2P4 8D1         (2)2( 4.5)   368503.1*
   334     3    2S2 2P4 8G1         (2)4( 8.5)   368535.0*
   335     3    2S2 2P4 8H1         (2)5(10.5)   368550.2*
   336     3    2S2 2P4 8I1         (2)6(12.5)   368556.9*
   337     3    2S2 2P4 8J1         (2)7(14.5)   368560.4*
   338     3    2S2 2P4 8F1         (2)3( 6.5)   368565.1*

   N-SHELL INDEXING                                     NREP= 42
   ----------------
   IREP    N
   -----   -
     1     1
     2     2
     3     3
     4     4
     5     5
     6     6
     7     7
     8     8
     9     9
    10    10
    11    11
    12    12
    13    13
    14    14
    15    15
    16    16
    17    18
    18    20
    19    22
    20    25
    21    29
    22    35
    23    39
    24    45
    25    49
    26    55
    27    61
    28    70
    29    81
    30   100
    31   115
    32   140
    33   162
    34   200
    35   235
    36   300
    37   353
    38   450
    39   535
    40   700
    41   811
    42   999



 --------------------------------
 PRTI= 1  TRMPRT= (3P)  SPNPRT= 3

   INDX TE=  4.00E+01  8.00E+01  2.00E+02  4.00E+02  8.00E+02  2.00E+03  4.00E+03  8.00E+03  2.00E+04  4.00E+04
   ---- ---  8.00E+04  2.00E+05  4.00E+05  8.00E+05  2.00E+06  4.00E+06  8.00E+06  2.00E+07  4.00E+07
     1       7.55E-12  5.34E-12  3.38E-12  2.39E-12  1.69E-12  1.08E-12  7.66E-13  5.49E-13  3.62E-13  2.71E-13
             2.09E-13  1.54E-13  1.21E-13  8.79E-14  4.89E-14  2.72E-14  1.35E-14  4.64E-15  1.90E-15
     2       1.30E-13  9.21E-14  5.83E-14  4.13E-14  2.94E-14  1.88E-14  1.36E-14  1.00E-14  7.06E-15  5.72E-15
             4.86E-15  4.11E-15  3.67E-15  3.24E-15  2.60E-15  2.02E-15  1.42E-15  7.49E-16  4.07E-16
     4       5.57E-14  3.94E-14  2.50E-14  1.77E-14  1.26E-14  8.08E-15  5.85E-15  4.33E-15  3.08E-15  2.53E-15
             2.19E-15  1.91E-15  1.74E-15  1.57E-15  1.27E-15  9.97E-16  7.04E-16  3.73E-16  2.03E-16
